type,logiciel,id,version,commentaire,date
Suppression,Geststock,0,-,"Suppression de Geststock, qui n'a plus de référent.",<2020-02-10 lun.>
Ajout,RStudio,182,1.2,Ajout de RStudio en version 1.2.,<2020-02-13 jeu.>
Ajout,RTF,183,,Ajout de Remediate The Flag,<2020-02-13 jeu.>
Mise à jour,Drupal,36,8.8,Mise à jour de Drupal en version 8.8.,<2020-02-13 jeu.>
Mise à jour,Nextcloud,93,17.0.3,Mise à jour de Nextcloud en version 17.0.3.,<2020-02-13 jeu.>
Ajout,Redis,184,5.0.7,Ajout de Redis en version 5.0.7.,<2020-02-14 ven.>
Ajout,Archifiltre,185,2.0.x,Ajout d'Archifiltre en version 2.0.x.,<2020-02-18 mar.>
Suppression,MongoDB,88,,"Suppression de MongoDB, licence non approuvée par OSI/FSF",<2020-02-18 mar.>
Ajout,OpenShot,193,2.4.3,"Ajout d'OpenShot, logiciel d'édition de vidéos",<2020-03-11 mer.>
Mise à jour,Keycloak,73,8.0.1,Passage en recommandé,<2020-03-11 mer.>
Mise à jour,FreeFileSync,47,10.20,Mise à jour de FreeFileSync vers la version 10.20,<2020-03-11 mer.>
Ajout,VITAM,194,2.1.18,"Ajout de VITAM, solution d'archivage électronique",<2020-03-12 jeu.>
Ajout,Opale,195,3.7,"Ajout d'Opale, solution de création de module de formation linéaire multi-support",<2020-03-11 mer.>
Ajout,BigBlueButton,196,2.2,"Ajout de BigBlueButton, solution de visioconférence",<2020-04-13 lun.>
Mise à jour,PDF Sam,112,4.1.2,Mise à jour de la version de PDF Sam,<2020-04-14 mar.>
Mise à jour,Audacity,14,2.3.3,Mise à jour de la version d'Audacity,<2020-04-14 mar.>
Ajout,Peertube,197,2.x,"Ajout de Peertube, hébergement décentralisé de vidéos",<2020-04-16 jeu.>
Ajout,exodus-privacy,199,1.1.1,"Ajout d'exodus-privacy (standalone), analyseur statique d'apk",<2020-04-16 jeu.>
Suppression,Fitness,44,,"Suppression de Fitness, outil d'injection pour tester les couches basses",<2020-04-20 lun.>
Suppression,DbFit,31,,"Suppression de DbFit, outil d'injection pour tester les couches basses",<2020-04-20 lun.>
Suppression,Assistant RGAA,13,,Suppression de l'Assistant RGAA qui n'est plus maintenu,<2020-04-20 lun.>
Suppression,PhpBB,114,,Suppression de l'outil de forum en ligne Phpbb,<2020-04-21 mar.>
Ajout,OpenFisca,200,34.7.3,"Ajout d'OpenFisca, moteur de calcul socio-fiscal",<2020-04-22 mer.>
Ajout,SDK Géoportail,201,3.0.11,Ajout du SDK Géoportail,<2020-04-22 mer.>
Ajout,Zimbra,202,,"Ajout de Zimbra, logiciel de webmail",<2020-04-22 mer.>
Mise à jour,Grammalecte,56,1.10,Passage à la version 1.10,<2020-04-22 mer.>
Ajout,Color Contrast Analyser,204,,"Ajout de Colour Contrast Analyser, outil d'analyse de contraste des couleurs",<2020-06-26 ven.>
